miRNA,gene
hsa-miR-206_st,RNF24
hsa-miR-206_st,AVL9
hsa-miR-206_st,RNGTT
hsa-miR-206_st,ROGDI
hsa-miR-206_st,ROR1
hsa-miR-206_st,RORA
hsa-miR-206_st,AZIN1
hsa-miR-206_st,RRAGC
hsa-miR-206_st,RRAGD
hsa-miR-206_st,RRBP1
hsa-miR-206_st,RSBN1
hsa-miR-206_st,RSBN1L
hsa-miR-206_st,RUNDC3B
hsa-miR-206_st,RYBP
hsa-miR-206_st,SAMD8
hsa-miR-206_st,SCO1
hsa-miR-206_st,SEC22C
hsa-miR-206_st,SEC62
hsa-miR-206_st,SEMA5A
hsa-miR-206_st,SETBP1
hsa-miR-206_st,SFPQ
hsa-miR-206_st,SFXN1
hsa-miR-206_st,SFXN5
hsa-miR-206_st,SGIP1
hsa-miR-206_st,SLC10A7
hsa-miR-206_st,SLC15A2
hsa-miR-206_st,SLC20A1
hsa-miR-206_st,SLC25A36
hsa-miR-206_st,SLC27A4
hsa-miR-206_st,SLC30A1
hsa-miR-206_st,SLC30A6
hsa-miR-206_st,SLC30A9
hsa-miR-206_st,SLC31A1
hsa-miR-206_st,SLC38A2
hsa-miR-206_st,SLC39A10
hsa-miR-206_st,SLC39A9
hsa-miR-206_st,SLC44A2
hsa-miR-206_st,SLC5A3
hsa-miR-206_st,SLC7A11
hsa-miR-206_st,SLC8A1
hsa-miR-206_st,SMAD2
hsa-miR-206_st,SMAP1
hsa-miR-206_st,BCL2L2
hsa-miR-206_st,SMEK2
hsa-miR-206_st,SNAI2
hsa-miR-206_st,SNX33
hsa-miR-206_st,SNX5
hsa-miR-206_st,SOX5
hsa-miR-206_st,SPTLC1
hsa-miR-206_st,SRGAP1
hsa-miR-206_st,SRSF9
hsa-miR-206_st,BET1
hsa-miR-206_st,STARD7
hsa-miR-206_st,STK39
hsa-miR-206_st,STX12
hsa-miR-206_st,BICD1
hsa-miR-206_st,STX6
hsa-miR-206_st,SUZ12
hsa-miR-206_st,SYT1
hsa-miR-206_st,SYT13
hsa-miR-206_st,TECPR2
hsa-miR-206_st,TEX2
hsa-miR-206_st,TGIF1
hsa-miR-206_st,TKT
hsa-miR-206_st,TLK2
hsa-miR-206_st,TMEM135
hsa-miR-206_st,TMEM55B
hsa-miR-206_st,TMEM68
hsa-miR-206_st,TMEM98
hsa-miR-206_st,TMSB4X
hsa-miR-206_st,TMX1
hsa-miR-206_st,BRIX1
hsa-miR-206_st,TNKS2
hsa-miR-206_st,TNPO1
hsa-miR-206_st,TNPO2
hsa-miR-206_st,TPK1
hsa-miR-206_st,TRAPPC4
hsa-miR-206_st,TRHDE
hsa-miR-206_st,TRIM44
hsa-miR-206_st,TSPAN9
hsa-miR-206_st,TTC7B
hsa-miR-206_st,TTR
hsa-miR-206_st,TXNL1
hsa-miR-206_st,UBE2R2
hsa-miR-206_st,UBN2
hsa-miR-206_st,UBQLN1
hsa-miR-206_st,UBR5
hsa-miR-206_st,UHMK1
hsa-miR-206_st,UHRF1BP1L
hsa-miR-206_st,UNC50
hsa-miR-206_st,USP33
hsa-miR-206_st,C10orf118
hsa-miR-206_st,UTP11L
hsa-miR-206_st,UTRN
hsa-miR-206_st,VAMP2
hsa-miR-206_st,VAPA
hsa-miR-206_st,VASP
hsa-miR-206_st,VEZF1
hsa-miR-206_st,VGLL4
hsa-miR-206_st,WASL
hsa-miR-206_st,WDR12
hsa-miR-206_st,WDR48
hsa-miR-206_st,WDR6
hsa-miR-206_st,WHSC1L1
hsa-miR-206_st,WIPF2
hsa-miR-206_st,YES1
hsa-miR-206_st,YIPF5
hsa-miR-206_st,C12orf4
hsa-miR-206_st,YWHAQ
hsa-miR-206_st,ZADH2
hsa-miR-206_st,ZMYND11
hsa-miR-206_st,ZNF146
hsa-miR-206_st,ZNF148
hsa-miR-206_st,ZNF217
hsa-miR-206_st,ZNF597
